Operating Room,Transportation,Severity,Injury Code,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
No,Yes,Mild,Drowning (10-32),Assess the scene and ensure it is safe for both the patient and the responder.,Check the patient's airway breathing and circulation (ABCs).,Administer high-concentration oxygen therapy via a non-rebreather mask or a bag-valve-mask device to improve the patient's oxygenation.,Assess the patient's level of consciousness using the AVPU scale.,Complete the revive and ask patient if they need to go to the Hospital,,,,,,,,,,,,,,,,
No,Yes,Moderate,Drowning (10-32),Assess the scene and ensure it is safe for both the patient and the responder.,Check the patient's airway breathing and circulation (ABCs).,Administer high-concentration oxygen therapy via a non-rebreather mask or a bag-valve-mask device to improve the patient's oxygenation.,Assess the patient's level of consciousness using the AVPU scale.,Transport the patient to a medical facility for further evaluation and treatment.,Remove any clothing that may be weighing the patient down and cover with a blanket.,Transport the patient to a medical facility for further evaluation and treatment.,,,,,,,,,,,,,,
No,Yes,Severe,Drowning (10-32),Assess the scene and ensure it is safe for both the patient and the responder.,Begin CPR immediately and expel water from lungs.,If water is present in the patient's airway, position the patient on their side and use a suction device to remove the water.,Assess the patient's level of consciousness using the AVPU scale.,Transport the patient to a medical facility for further evaluation and treatment.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
